ID_result,#,0_1,0_2,0_3,0_4,0_5,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,5_1,5_2,5_3,5_4,5_5,10_1,10_2,10_3,10_4,10_5,20_1,20_2,20_3,20_4,20_5
,152,0.574649718,0.635430727,0.868134149,0.737783513,0.681881182,0.653105158,0.597499741,0.849219825,0.722249479,0.610134353,0.61545975,0.691722626,0.682761169,0.674869574,0.68618572,0.66922556,0.673530168,0.642278176,0.743378906,0.630530967,0.74482683,0.669157589,0.845225369,0.650688747,0.641095946,0.644626666,0.810967022,0.772863729,0.803265378,0.721554007
,153,0.47048595,0.497547496,0.447044946,0.489863647,0.564105689,0.467443382,0.590480108,0.849180273,0.71998656,0.550123752,0.314876739,0.572061857,0.708711251,0.543172943,0.668468521,0.49476798,0.609378417,0.598283857,0.440158194,0.38591888,0.564890105,0.480629751,0.639103872,0.452329117,0.339929695,0.355860554,0.46356169,0.430789134,0.437457207,0.3485146
,154,0.612110676,0.538543503,0.683828486,0.580111672,0.596607227,0.640333994,0.692209618,0.942129614,0.846454285,0.637928698,0.542695731,0.766334709,0.867363015,0.795012963,0.758478348,0.701552645,0.883730006,0.739871635,0.62858275,0.586995288,0.884732383,0.836340709,1.113548014,0.712588835,0.63150739,0.664512231,0.900103957,0.831272884,0.83179073,0.71560742
,155,0.996125734,1.065135042,1.406642577,1.182700098,1.107204243,1.143091927,1.004692629,1.443884922,1.165991055,1.037047252,1.056385782,1.044478701,1.080438556,1.10553409,1.130550792,1.174951261,1.129344015,1.025520538,1.308929015,1.086016044,1.181240149,1.166064746,1.468696457,1.111494063,1.218340593,1.045352055,1.340939849,1.273456605,1.317435515,1.158115031
,158,2.155770959,2.056295513,2.072104959,1.754713354,1.74201634,1.779583657,1.96164992,2.639134722,2.207680481,2.077674049,1.468333117,1.826099127,2.185969535,1.959463092,1.889481733,1.887462731,2.076873201,1.924265923,1.050154045,1.496341771,1.79242648,1.741601762,2.070232798,1.614094125,1.455888656,1.17916073,1.605945278,1.360429437,1.27469929,1.037963951
,159,0.509751958,0.442215915,0.484920131,0.447589578,0.54232843,0.502378789,0.469107628,0.70214277,0.66053787,0.469275535,0.410337842,0.592077928,0.61235611,0.522572214,0.547127729,0.518287502,0.638952942,0.510364463,0.46965802,0.373384302,0.555627828,0.532773422,0.704068394,0.412415986,0.416965062,0.413353463,0.544098884,0.496174742,0.545698182,0.408978495
,160,1.788880714,1.710654853,1.654909567,1.39510963,1.355525358,1.291795659,1.404115695,1.879229944,1.572096423,1.428031991,1.180771932,1.306936205,1.497438063,1.347427868,1.202820199,1.259276557,1.427674876,1.250508997,0.693072144,0.913425034,1.020490196,1.000517643,1.216863098,0.98145357,0.872862005,0.765304525,0.988836726,0.833423568,0.739432599,0.589559659
,161,0.486562356,0.435310976,0.521495958,0.427592868,0.468765771,0.515334756,0.540018546,0.723470568,0.649517066,0.475746391,0.417479684,0.543422134,0.65253864,0.63378991,0.581367483,0.534167643,0.665065457,0.579743791,0.392422241,0.438909675,0.639092868,0.616887009,0.778032521,0.51958303,0.423849094,0.480067794,0.668648161,0.608558063,0.58959807,0.485994093
,162,1.129865172,1.220755071,0.987730388,1.13241716,1.282720052,0.914561202,1.237234742,1.574127979,1.409562482,1.158351452,0.647721191,1.178025485,1.498117641,1.131927526,1.353119286,1.126539478,1.358867624,1.364622544,0.738340319,0.973591979,1.459246514,1.302985983,1.585766779,1.146769478,0.858185136,0.996908059,1.356944881,1.227414399,1.321897041,0.916662514
,163,0.242582683,0.379338868,0.428249739,0.647811847,0.63965316,0.441388135,0.377448865,0.274413951,0.352370416,3.51122531,0.410907745,0.455140473,0.302360987,0.288270093,0.579993837,0.537991155,0.305393513,0.399802793,1.648407287,0.665203387,0.526391836,0.424879487,0.344979108,0.63454114,0.754369054,0.679009155,0.454595046,0.581388078,0.740627494,0.895113398
,164,0.724001124,0.672060186,1.727766206,1.121024679,0.785306896,1.308827644,0.777772521,0.942263852,0.852550781,0.655724469,0.693448051,0.524292168,0.700567387,0.926992656,0.885934583,0.803060279,0.830806536,0.682652568,0.982134688,0.852540578,0.57950448,0.841319686,0.768330857,0.782934766,0.864170947,0.725122023,0.552976912,0.566478425,0.528280344,0.738983561
,165,1.374530349,1.254641577,1.446799969,1.189098865,1.213015438,1.294441753,1.376387184,1.812624252,1.605177821,1.234042189,0.770310161,1.219469223,1.598711995,1.594040982,1.451067893,1.260645145,1.623994383,1.430209895,0.802443678,1.155572174,1.464323185,1.458578505,1.864732645,1.260999075,1.006475085,0.998585659,1.322355898,1.176346651,1.148862412,0.965353931
,166,0.57317886,0.475927564,0.553473122,0.420469636,0.425306289,0.475306225,0.453624002,0.56279523,0.521468804,0.478906529,0.421927834,0.431805797,0.503569513,0.526173442,0.439708527,0.475290751,0.506628391,0.447267275,0.251298472,0.366966235,0.40125368,0.407080172,0.505025002,0.405137749,0.374570342,0.370997291,0.46249891,0.401293553,0.355653019,0.295808141
,167,1.184392352,1.134284331,1.063045165,0.929971293,0.857229436,0.909095129,0.982780957,1.205677287,1.024834343,0.861052192,0.84923929,0.762484052,0.92000585,0.895843068,0.726556079,0.835714672,0.953377485,0.781854262,0.431652238,0.600377132,0.533780381,0.617321548,0.710702045,0.64921523,0.516482161,0.517345517,0.56974558,0.479315558,0.402309852,0.342407785
,169,0.499601681,0.561423257,0.243266015,0.590492482,0.746486798,0.171022611,0.40729944,0.650561481,0.532962621,0.562583007,0.445738643,0.669828133,0.576243769,0.198252678,0.601830897,0.500034296,0.420719344,0.49035636,0.749082366,0.264177626,0.666367434,0.487415265,0.637192259,0.448391349,0.594315553,0.466420712,0.685548083,0.693532555,0.795670332,0.611702656
,171,1.131521348,0.90942452,1.156857543,0.792914122,0.809681925,1.024316044,0.886456593,1.021734288,0.9906749,0.898908167,0.886627338,0.830062398,0.925866177,0.99141166,0.759630923,0.842713154,0.915320989,0.789382272,0.432533266,0.692281807,0.67894043,0.719213874,0.815130377,0.679552238,0.604939621,0.602631823,0.705491471,0.605813348,0.547000713,0.456800264
,172,0.822772766,0.835522896,0.810980834,0.724553925,0.829580244,0.686482286,0.819148587,1.154022843,0.933722913,0.88152476,0.481630203,0.805336347,1.005104186,0.806167452,0.902956939,0.706407959,0.825401226,0.838469707,0.470824065,0.585252467,0.800407206,0.701524807,0.886701581,0.601343857,0.545667791,0.451184325,0.688427263,0.590770527,0.564168436,0.451272603
,173,1.20877589,1.255853269,1.230235872,1.015521856,1.200690578,0.95510853,1.108876924,1.642763235,1.292856135,1.258412458,0.769169348,1.215062188,1.396117443,1.095739708,1.22989635,1.017590446,1.171654571,1.180527636,0.71847925,0.81324444,1.189777583,0.999587198,1.278040447,0.859547044,0.8277201,0.661858409,1.084131034,0.92493638,0.919997062,0.688233227
,174,1.152002853,1.080289261,1.039909504,0.957191876,0.857303048,0.891055746,0.981151402,1.287281638,1.073747258,0.898784143,0.793548914,0.789796623,0.997183751,0.895322942,0.829168885,0.881910317,1.032982359,0.866591803,0.489980383,0.636721208,0.66083805,0.697491068,0.839900785,0.693291397,0.568316073,0.529423935,0.664817452,0.560163653,0.491998943,0.42355537
